epoch,loss,lr,val_loss
0,-12.549166676930719,0.001,-13.803243105924583
1,-14.226975443430609,0.001,-14.509103159361247
2,-14.81548919530638,0.001,-14.962533950805664
3,-15.163871929394249,0.001,-15.231368789189979
4,-15.424488619238062,0.001,-15.477038902572438
5,-15.610827252307098,0.001,-15.632987843284123
6,-15.762890523993876,0.001,-15.781335806544822
7,-15.920008291622054,0.001,-15.905382132228416
8,-16.021086553068578,0.001,-15.94782543182373
9,-16.118437600319673,0.001,-16.07156471059292
10,-16.20731391759642,0.001,-16.132415119605728
11,-16.28589458024287,0.001,-16.174484494366222
12,-16.36116059948056,0.001,-16.224938718578482
13,-16.419654110709928,0.001,-16.324957895882523
14,-16.47507828857108,0.001,-16.233402071119865
15,-16.505746255497087,0.001,-16.373221493974516
16,-16.568943678260155,0.001,-16.415545222125477
17,-16.626957670275534,0.001,-16.429732117471815
18,-16.689378721242086,0.001,-16.510328908509845
19,-16.696814230597724,0.001,-16.419612039493607
20,-16.731702733468886,0.001,-16.548797559134567
21,-16.8033228312789,0.001,-16.581440744520744
22,-16.82760886606643,0.001,-16.619021174273914
23,-16.834412643413003,0.001,-16.63477141947686
24,-16.883227287037514,0.001,-16.60341472867169
25,-16.881299528793686,0.001,-16.639557343495042
26,-16.929532703213336,0.001,-16.69060711921016
27,-16.95507828435432,0.001,-16.65959524806542
28,-16.9610922649158,0.001,-16.72498168221003
29,-16.990796214204213,0.001,-16.67582404462597
30,-17.00292562764224,0.001,-16.714462557925454
31,-17.030927807628956,0.001,-16.76590096196042
32,-17.02698089776125,0.001,-16.73029705240757
33,-17.073455143710333,0.001,-16.755527592912504
34,-17.060713718973272,0.001,-16.80802702601952
35,-17.122564899277872,0.001,-16.812954902648926
36,-17.125171820731275,0.001,-16.819238566145113
37,-17.116772659027177,0.001,-16.814776686173452
38,-17.123149589891604,0.001,-16.827324625812
39,-17.146466343445766,0.001,-16.8372736942919
40,-17.184833874739226,0.001,-16.853268587136572
41,-17.189550007523486,0.001,-16.827831461459777
42,-17.20176013760211,0.001,-16.849169187907933
43,-17.2118178198454,0.001,-16.85535480402693
44,-17.178509709767635,0.001,-16.846537553811377
45,-17.223401822283826,0.001,-16.90368911888026
46,-17.268821718760197,0.001,-16.900495227379135
47,-17.28637256965539,0.001,-16.893151005612143
48,-17.258727262443013,0.001,-16.904464649248727
49,-17.253261629903836,0.001,-16.926185414760926
50,-17.292641475451944,0.001,-16.940155451810814
51,-17.305928448478483,0.001,-16.946967004220696
52,-17.27984124897072,0.001,-16.929971791520902
53,-17.332329078321287,0.001,-16.943225679518303
54,-17.329703595766983,0.001,-16.910381449928767
55,-17.388148452444984,0.0005,-16.996530798417105
56,-17.414572845694337,0.0005,-16.983607859551153
57,-17.419709813625463,0.0005,-16.991999143286595
58,-17.421539213479637,0.0005,-17.000093508370316
59,-17.426745274992406,0.0005,-17.008387831192984
60,-17.440895771918996,0.0005,-16.996852295308173
61,-17.428008685075227,0.0005,-17.006869267813766
62,-17.452451661803728,0.0005,-17.001648190655285
63,-17.475213175874135,0.00025,-17.00992931897127
64,-17.480073781736714,0.00025,-17.02529883082909
65,-17.488837690770165,0.00025,-17.028377653677254
66,-17.491682302676008,0.00025,-17.027911922599696
67,-17.49163218206489,0.00025,-17.021609101114393
68,-17.4995187842754,0.00025,-17.022250549702704
69,-17.512332455358038,0.000125,-17.03777813006051
70,-17.516263853921377,0.000125,-17.03718955607354
71,-17.51714663762973,0.000125,-17.040156666236587
72,-17.520241573108194,0.000125,-17.039525116546244
73,-17.522400309310168,0.000125,-17.041664944419377
74,-17.52420190551287,0.000125,-17.042925774296627
75,-17.524948340761632,0.000125,-17.04121896285045
76,-17.528860057840618,0.000125,-17.043698962730698
77,-17.526482045190807,0.000125,-17.036844265611865
78,-17.529920470132314,0.000125,-17.045378914362267
79,-17.533504422342258,0.000125,-17.038324054283432
80,-17.534010404179824,0.000125,-17.041616101808184
81,-17.537367391708884,0.000125,-17.04056960721559
82,-17.542493977093145,6.25e-05,-17.042354016364374
83,-17.545412955982826,6.25e-05,-17.042603203012973
84,-17.547126980857556,6.25e-05,-17.04783490337903
85,-17.548149241273386,6.25e-05,-17.04734192618841
86,-17.54786085898588,6.25e-05,-17.046750008305416
87,-17.548727790616777,6.25e-05,-17.047173898431318
88,-17.552544096135236,3.125e-05,-17.04773362075226
89,-17.553343922436085,3.125e-05,-17.04747583896299
90,-17.553850796657848,3.125e-05,-17.046174930620797
91,-17.55611929121238,1.5625e-05,-17.047997088371954
92,-17.556910482960678,1.5625e-05,-17.046311499197273
93,-17.55752017258985,1.5625e-05,-17.047933337054676
94,-17.55749676466601,1.5625e-05,-17.047463610202453
95,-17.557117253771786,7.8125e-06,-17.048622481430634
96,-17.557783401410806,7.8125e-06,-17.047409685352182
97,-17.55821820335094,7.8125e-06,-17.048413023164002
98,-17.55837665057734,7.8125e-06,-17.04885617992546
99,-17.558695702442474,7.8125e-06,-17.04864896701861
100,-17.558629205110446,7.8125e-06,-17.04920923257176
101,-17.55816078186035,7.8125e-06,-17.04830204686032
102,-17.559103561244463,7.8125e-06,-17.048487856418273
103,-17.558946305498058,7.8125e-06,-17.047710141049155
104,-17.558775659085544,3.90625e-06,-17.048646323288544
105,-17.55997380254201,3.90625e-06,-17.048329003249542
106,-17.559829314754065,3.90625e-06,-17.04830170884917
107,-17.560183488311374,1.953125e-06,-17.047926866555517
108,-17.560493466786678,1.953125e-06,-17.04858679711064
109,-17.560199531614014,1.953125e-06,-17.04858672467968
110,-17.559992380804147,9.765625e-07,-17.04804789869091
