{'noreverb_fileid_0.wav': '3.960575819015503'}
{'noreverb_fileid_1.wav': '4.143207550048828'}
{'noreverb_fileid_10.wav': '4.0786261558532715'}
{'noreverb_fileid_100.wav': '4.136938095092773'}
{'noreverb_fileid_101.wav': '3.984424591064453'}
{'noreverb_fileid_102.wav': '4.130374908447266'}
{'noreverb_fileid_103.wav': '3.924485921859741'}
{'noreverb_fileid_104.wav': '4.20037317276001'}
{'noreverb_fileid_105.wav': '4.411310195922852'}
{'noreverb_fileid_106.wav': '4.051946640014648'}
{'noreverb_fileid_107.wav': '3.943748712539673'}
{'noreverb_fileid_108.wav': '3.830282211303711'}
{'noreverb_fileid_109.wav': '3.2851390838623047'}
{'noreverb_fileid_11.wav': '3.790119171142578'}
{'noreverb_fileid_110.wav': '4.037998676300049'}
{'noreverb_fileid_111.wav': '4.178333282470703'}
{'noreverb_fileid_112.wav': '3.5598714351654053'}
{'noreverb_fileid_113.wav': '3.5661633014678955'}
{'noreverb_fileid_114.wav': '3.909501552581787'}
{'noreverb_fileid_115.wav': '3.737649440765381'}
{'noreverb_fileid_116.wav': '3.7693238258361816'}
{'noreverb_fileid_117.wav': '3.7271909713745117'}
{'noreverb_fileid_118.wav': '3.8521323204040527'}
{'noreverb_fileid_119.wav': '4.447207450866699'}
{'noreverb_fileid_12.wav': '3.992497444152832'}
{'noreverb_fileid_120.wav': '3.875115394592285'}
{'noreverb_fileid_121.wav': '3.1860246658325195'}
{'noreverb_fileid_122.wav': '3.860668659210205'}
{'noreverb_fileid_123.wav': '3.9741060733795166'}
{'noreverb_fileid_124.wav': '3.830841064453125'}
{'noreverb_fileid_125.wav': '3.8329153060913086'}
{'noreverb_fileid_126.wav': '3.342665910720825'}
{'noreverb_fileid_127.wav': '3.992021083831787'}
{'noreverb_fileid_128.wav': '3.508206367492676'}
{'noreverb_fileid_129.wav': '4.002513885498047'}
{'noreverb_fileid_13.wav': '3.740241527557373'}
{'noreverb_fileid_130.wav': '4.054900169372559'}
{'noreverb_fileid_131.wav': '4.235655784606934'}
{'noreverb_fileid_132.wav': '3.9549622535705566'}
{'noreverb_fileid_133.wav': '3.522162914276123'}
{'noreverb_fileid_134.wav': '3.8208398818969727'}
{'noreverb_fileid_135.wav': '3.568753719329834'}
{'noreverb_fileid_136.wav': '3.4730911254882812'}
{'noreverb_fileid_137.wav': '4.189602375030518'}
{'noreverb_fileid_138.wav': '4.031566143035889'}
{'noreverb_fileid_139.wav': '3.8866984844207764'}
{'noreverb_fileid_14.wav': '3.972043991088867'}
{'noreverb_fileid_140.wav': '3.8172130584716797'}
{'noreverb_fileid_141.wav': '4.240884780883789'}
{'noreverb_fileid_142.wav': '3.9564154148101807'}
{'noreverb_fileid_143.wav': '3.429525852203369'}
{'noreverb_fileid_144.wav': '3.6044301986694336'}
{'noreverb_fileid_145.wav': '3.9969234466552734'}
{'noreverb_fileid_146.wav': '3.6437437534332275'}
{'noreverb_fileid_147.wav': '4.023168563842773'}
{'noreverb_fileid_148.wav': '4.060671806335449'}
{'noreverb_fileid_149.wav': '4.172130584716797'}
{'noreverb_fileid_15.wav': '4.137080669403076'}
{'noreverb_fileid_16.wav': '3.8106751441955566'}
{'noreverb_fileid_17.wav': '4.311745643615723'}
{'noreverb_fileid_18.wav': '3.7478346824645996'}
{'noreverb_fileid_19.wav': '4.2817583084106445'}
{'noreverb_fileid_2.wav': '3.634450912475586'}
{'noreverb_fileid_20.wav': '3.8736507892608643'}
{'noreverb_fileid_21.wav': '3.224687099456787'}
{'noreverb_fileid_22.wav': '3.5526936054229736'}
{'noreverb_fileid_23.wav': '4.164182186126709'}
{'noreverb_fileid_24.wav': '4.021883964538574'}
{'noreverb_fileid_25.wav': '3.2306039333343506'}
{'noreverb_fileid_26.wav': '3.636758327484131'}
{'noreverb_fileid_27.wav': '4.253463268280029'}
{'noreverb_fileid_28.wav': '4.0519514083862305'}
{'noreverb_fileid_29.wav': '4.2425127029418945'}
{'noreverb_fileid_3.wav': '3.675574779510498'}
{'noreverb_fileid_30.wav': '3.891326665878296'}
{'noreverb_fileid_31.wav': '3.555178165435791'}
{'noreverb_fileid_32.wav': '3.724588394165039'}
{'noreverb_fileid_33.wav': '3.78513765335083'}
{'noreverb_fileid_34.wav': '3.920560598373413'}
{'noreverb_fileid_35.wav': '4.0371012687683105'}
{'noreverb_fileid_36.wav': '3.9465394020080566'}
{'noreverb_fileid_37.wav': '4.052136421203613'}
{'noreverb_fileid_38.wav': '3.7996504306793213'}
{'noreverb_fileid_39.wav': '4.053549289703369'}
{'noreverb_fileid_4.wav': '3.9532933235168457'}
{'noreverb_fileid_40.wav': '3.730558156967163'}
{'noreverb_fileid_41.wav': '4.061428546905518'}
{'noreverb_fileid_42.wav': '4.004437446594238'}
{'noreverb_fileid_43.wav': '3.9948630332946777'}
{'noreverb_fileid_44.wav': '3.841151714324951'}
{'noreverb_fileid_45.wav': '4.01265811920166'}
{'noreverb_fileid_46.wav': '3.804560899734497'}
{'noreverb_fileid_47.wav': '3.1669561862945557'}
{'noreverb_fileid_48.wav': '4.1434645652771'}
{'noreverb_fileid_49.wav': '3.758483648300171'}
{'noreverb_fileid_5.wav': '3.6225292682647705'}
{'noreverb_fileid_50.wav': '3.5809695720672607'}
{'noreverb_fileid_51.wav': '3.930851936340332'}
{'noreverb_fileid_52.wav': '3.860966920852661'}
{'noreverb_fileid_53.wav': '3.6980233192443848'}
{'noreverb_fileid_54.wav': '3.620530128479004'}
{'noreverb_fileid_55.wav': '3.8579111099243164'}
{'noreverb_fileid_56.wav': '4.080705165863037'}
{'noreverb_fileid_57.wav': '3.5100297927856445'}
{'noreverb_fileid_58.wav': '3.9117279052734375'}
{'noreverb_fileid_59.wav': '3.630375862121582'}
{'noreverb_fileid_6.wav': '3.44031023979187'}
{'noreverb_fileid_60.wav': '3.7058205604553223'}
{'noreverb_fileid_61.wav': '4.032632350921631'}
{'noreverb_fileid_62.wav': '3.541940212249756'}
{'noreverb_fileid_63.wav': '4.05485200881958'}
{'noreverb_fileid_64.wav': '3.9706201553344727'}
{'noreverb_fileid_65.wav': '3.311988353729248'}
{'noreverb_fileid_66.wav': '4.173171520233154'}
{'noreverb_fileid_67.wav': '4.166715621948242'}
{'noreverb_fileid_68.wav': '3.50142502784729'}
{'noreverb_fileid_69.wav': '3.375336170196533'}
{'noreverb_fileid_7.wav': '4.138918399810791'}
{'noreverb_fileid_70.wav': '4.090080261230469'}
{'noreverb_fileid_71.wav': '4.001486778259277'}
{'noreverb_fileid_72.wav': '3.9760801792144775'}
{'noreverb_fileid_73.wav': '4.266361713409424'}
{'noreverb_fileid_74.wav': '3.694265127182007'}
{'noreverb_fileid_75.wav': '3.15889573097229'}
{'noreverb_fileid_76.wav': '3.384639024734497'}
{'noreverb_fileid_77.wav': '4.108025550842285'}
{'noreverb_fileid_78.wav': '3.744314193725586'}
{'noreverb_fileid_79.wav': '4.178399085998535'}
{'noreverb_fileid_8.wav': '4.000690460205078'}
{'noreverb_fileid_80.wav': '3.302971363067627'}
{'noreverb_fileid_81.wav': '3.7398295402526855'}
{'noreverb_fileid_82.wav': '2.8762428760528564'}
{'noreverb_fileid_83.wav': '3.323150634765625'}
{'noreverb_fileid_84.wav': '3.874323606491089'}
{'noreverb_fileid_85.wav': '3.999006748199463'}
{'noreverb_fileid_86.wav': '3.5418343544006348'}
{'noreverb_fileid_87.wav': '4.15346622467041'}
{'noreverb_fileid_88.wav': '3.755324602127075'}
{'noreverb_fileid_89.wav': '4.130620002746582'}
{'noreverb_fileid_9.wav': '4.359041690826416'}
{'noreverb_fileid_90.wav': '3.8426506519317627'}
{'noreverb_fileid_91.wav': '3.6935181617736816'}
{'noreverb_fileid_92.wav': '3.357940673828125'}
{'noreverb_fileid_93.wav': '3.8401174545288086'}
{'noreverb_fileid_94.wav': '3.994464635848999'}
{'noreverb_fileid_95.wav': '4.0759663581848145'}
{'noreverb_fileid_96.wav': '3.5824310779571533'}
{'noreverb_fileid_97.wav': '3.7361512184143066'}
{'noreverb_fileid_98.wav': '3.943021535873413'}
{'noreverb_fileid_99.wav': '4.14095401763916'}
avg:3.8474924977620444
