{'realrec_fileid_0.wav': '3.805185556411743'}
{'realrec_fileid_1.wav': '3.0043179988861084'}
{'realrec_fileid_10.wav': '3.41858172416687'}
{'realrec_fileid_100.wav': '3.3443775177001953'}
{'realrec_fileid_101.wav': '3.545416831970215'}
{'realrec_fileid_102.wav': '3.6099536418914795'}
{'realrec_fileid_103.wav': '3.417334794998169'}
{'realrec_fileid_104.wav': '3.4123682975769043'}
{'realrec_fileid_105.wav': '3.4815382957458496'}
{'realrec_fileid_106.wav': '3.936736822128296'}
{'realrec_fileid_107.wav': '3.533511161804199'}
{'realrec_fileid_108.wav': '3.416860580444336'}
{'realrec_fileid_109.wav': '3.739501476287842'}
{'realrec_fileid_11.wav': '3.1244776248931885'}
{'realrec_fileid_110.wav': '3.7208244800567627'}
{'realrec_fileid_111.wav': '3.4740347862243652'}
{'realrec_fileid_112.wav': '3.4206199645996094'}
{'realrec_fileid_113.wav': '3.6473045349121094'}
{'realrec_fileid_114.wav': '4.04990291595459'}
{'realrec_fileid_115.wav': '3.842670202255249'}
{'realrec_fileid_116.wav': '4.047024726867676'}
{'realrec_fileid_117.wav': '3.8115015029907227'}
{'realrec_fileid_118.wav': '3.8670802116394043'}
{'realrec_fileid_119.wav': '3.4789843559265137'}
{'realrec_fileid_12.wav': '2.931331157684326'}
{'realrec_fileid_120.wav': '3.6438961029052734'}
{'realrec_fileid_121.wav': '4.0867838859558105'}
{'realrec_fileid_122.wav': '3.5661208629608154'}
{'realrec_fileid_123.wav': '3.432868480682373'}
{'realrec_fileid_124.wav': '3.427586078643799'}
{'realrec_fileid_125.wav': '3.6150968074798584'}
{'realrec_fileid_126.wav': '3.480889081954956'}
{'realrec_fileid_127.wav': '3.338026285171509'}
{'realrec_fileid_128.wav': '3.7048563957214355'}
{'realrec_fileid_129.wav': '3.698786735534668'}
{'realrec_fileid_13.wav': '3.2839772701263428'}
{'realrec_fileid_130.wav': '3.5822808742523193'}
{'realrec_fileid_131.wav': '4.023601531982422'}
{'realrec_fileid_132.wav': '3.6386663913726807'}
{'realrec_fileid_133.wav': '2.2365517616271973'}
{'realrec_fileid_134.wav': '2.9302947521209717'}
{'realrec_fileid_135.wav': '2.4555726051330566'}
{'realrec_fileid_136.wav': '3.9190762042999268'}
{'realrec_fileid_137.wav': '3.6403210163116455'}
{'realrec_fileid_138.wav': '3.204061269760132'}
{'realrec_fileid_139.wav': '3.7566473484039307'}
{'realrec_fileid_14.wav': '3.3078951835632324'}
{'realrec_fileid_140.wav': '3.1922988891601562'}
{'realrec_fileid_141.wav': '3.675807237625122'}
{'realrec_fileid_142.wav': '3.3673181533813477'}
{'realrec_fileid_143.wav': '3.3833587169647217'}
{'realrec_fileid_144.wav': '2.827054023742676'}
{'realrec_fileid_145.wav': '3.470421552658081'}
{'realrec_fileid_146.wav': '2.860785961151123'}
{'realrec_fileid_147.wav': '3.822878360748291'}
{'realrec_fileid_148.wav': '3.6865310668945312'}
{'realrec_fileid_149.wav': '2.9396302700042725'}
{'realrec_fileid_15.wav': '3.1163716316223145'}
{'realrec_fileid_150.wav': '3.0937247276306152'}
{'realrec_fileid_151.wav': '3.4742045402526855'}
{'realrec_fileid_152.wav': '3.595486640930176'}
{'realrec_fileid_153.wav': '3.613633155822754'}
{'realrec_fileid_154.wav': '3.2255136966705322'}
{'realrec_fileid_155.wav': '3.296170473098755'}
{'realrec_fileid_156.wav': '3.6386663913726807'}
{'realrec_fileid_157.wav': '3.555400848388672'}
{'realrec_fileid_158.wav': '3.684638023376465'}
{'realrec_fileid_159.wav': '2.9962940216064453'}
{'realrec_fileid_16.wav': '2.748605251312256'}
{'realrec_fileid_160.wav': '3.2891249656677246'}
{'realrec_fileid_161.wav': '3.7468879222869873'}
{'realrec_fileid_162.wav': '3.2041969299316406'}
{'realrec_fileid_163.wav': '3.9631948471069336'}
{'realrec_fileid_164.wav': '3.4332613945007324'}
{'realrec_fileid_165.wav': '2.7642993927001953'}
{'realrec_fileid_166.wav': '3.3248093128204346'}
{'realrec_fileid_167.wav': '3.5370712280273438'}
{'realrec_fileid_168.wav': '3.293449640274048'}
{'realrec_fileid_169.wav': '3.29036283493042'}
{'realrec_fileid_17.wav': '2.8864476680755615'}
{'realrec_fileid_170.wav': '3.6982014179229736'}
{'realrec_fileid_171.wav': '3.484858512878418'}
{'realrec_fileid_172.wav': '4.056352615356445'}
{'realrec_fileid_173.wav': '3.9342617988586426'}
{'realrec_fileid_174.wav': '3.7536120414733887'}
{'realrec_fileid_175.wav': '3.660855293273926'}
{'realrec_fileid_176.wav': '3.8432791233062744'}
{'realrec_fileid_177.wav': '3.4480690956115723'}
{'realrec_fileid_178.wav': '3.634342670440674'}
{'realrec_fileid_179.wav': '3.590386152267456'}
{'realrec_fileid_18.wav': '3.0971577167510986'}
{'realrec_fileid_180.wav': '3.8585472106933594'}
{'realrec_fileid_181.wav': '3.6070821285247803'}
{'realrec_fileid_182.wav': '3.564633846282959'}
{'realrec_fileid_183.wav': '3.367919445037842'}
{'realrec_fileid_184.wav': '3.1172566413879395'}
{'realrec_fileid_185.wav': '3.1670827865600586'}
{'realrec_fileid_186.wav': '3.5041396617889404'}
{'realrec_fileid_187.wav': '3.7761757373809814'}
{'realrec_fileid_188.wav': '3.2354977130889893'}
{'realrec_fileid_189.wav': '4.009375095367432'}
{'realrec_fileid_19.wav': '3.0905356407165527'}
{'realrec_fileid_190.wav': '3.2955384254455566'}
{'realrec_fileid_191.wav': '3.474557876586914'}
{'realrec_fileid_192.wav': '3.269024133682251'}
{'realrec_fileid_193.wav': '3.2886204719543457'}
{'realrec_fileid_194.wav': '4.173403263092041'}
{'realrec_fileid_195.wav': '3.9149131774902344'}
