{'reverb_fileid_0.wav': '3.568464994430542'}
{'reverb_fileid_1.wav': '3.545510768890381'}
{'reverb_fileid_10.wav': '4.015621185302734'}
{'reverb_fileid_100.wav': '3.0671474933624268'}
{'reverb_fileid_101.wav': '3.309211492538452'}
{'reverb_fileid_102.wav': '3.2860617637634277'}
{'reverb_fileid_103.wav': '3.49259614944458'}
{'reverb_fileid_104.wav': '3.4811275005340576'}
{'reverb_fileid_105.wav': '3.5951900482177734'}
{'reverb_fileid_106.wav': '3.1094722747802734'}
{'reverb_fileid_107.wav': '3.551485538482666'}
{'reverb_fileid_108.wav': '3.208498001098633'}
{'reverb_fileid_109.wav': '2.9770267009735107'}
{'reverb_fileid_11.wav': '3.711408853530884'}
{'reverb_fileid_110.wav': '3.378479242324829'}
{'reverb_fileid_111.wav': '3.6655678749084473'}
{'reverb_fileid_112.wav': '2.762011766433716'}
{'reverb_fileid_113.wav': '2.9613842964172363'}
{'reverb_fileid_114.wav': '3.1032462120056152'}
{'reverb_fileid_115.wav': '3.169377326965332'}
{'reverb_fileid_116.wav': '3.4586052894592285'}
{'reverb_fileid_117.wav': '3.1889920234680176'}
{'reverb_fileid_118.wav': '3.480281352996826'}
{'reverb_fileid_119.wav': '3.653663158416748'}
{'reverb_fileid_12.wav': '3.4398305416107178'}
{'reverb_fileid_120.wav': '3.005047559738159'}
{'reverb_fileid_121.wav': '3.0513534545898438'}
{'reverb_fileid_122.wav': '3.1598105430603027'}
{'reverb_fileid_123.wav': '3.457390069961548'}
{'reverb_fileid_124.wav': '3.143585205078125'}
{'reverb_fileid_125.wav': '3.166317939758301'}
{'reverb_fileid_126.wav': '3.0461196899414062'}
{'reverb_fileid_127.wav': '3.069776773452759'}
{'reverb_fileid_128.wav': '3.0054776668548584'}
{'reverb_fileid_129.wav': '2.866927146911621'}
{'reverb_fileid_13.wav': '3.379487991333008'}
{'reverb_fileid_130.wav': '3.3484385013580322'}
{'reverb_fileid_131.wav': '3.6525888442993164'}
{'reverb_fileid_132.wav': '3.6396727561950684'}
{'reverb_fileid_133.wav': '3.216907501220703'}
{'reverb_fileid_134.wav': '3.5545477867126465'}
{'reverb_fileid_135.wav': '3.0900511741638184'}
{'reverb_fileid_136.wav': '3.070131301879883'}
{'reverb_fileid_137.wav': '3.287762403488159'}
{'reverb_fileid_138.wav': '3.065431594848633'}
{'reverb_fileid_139.wav': '2.9326839447021484'}
{'reverb_fileid_14.wav': '3.1574149131774902'}
{'reverb_fileid_140.wav': '3.146493434906006'}
{'reverb_fileid_141.wav': '3.7154972553253174'}
{'reverb_fileid_142.wav': '2.989711284637451'}
{'reverb_fileid_143.wav': '3.084935188293457'}
{'reverb_fileid_144.wav': '2.866119384765625'}
{'reverb_fileid_145.wav': '3.4525392055511475'}
{'reverb_fileid_146.wav': '2.9092483520507812'}
{'reverb_fileid_147.wav': '3.690662384033203'}
{'reverb_fileid_148.wav': '3.361304521560669'}
{'reverb_fileid_149.wav': '3.237744092941284'}
{'reverb_fileid_15.wav': '3.3480143547058105'}
{'reverb_fileid_16.wav': '3.2721974849700928'}
{'reverb_fileid_17.wav': '3.4877891540527344'}
{'reverb_fileid_18.wav': '2.824719190597534'}
{'reverb_fileid_19.wav': '3.5462656021118164'}
{'reverb_fileid_2.wav': '3.2157537937164307'}
{'reverb_fileid_20.wav': '3.3701717853546143'}
{'reverb_fileid_21.wav': '2.7804782390594482'}
{'reverb_fileid_22.wav': '3.061753749847412'}
{'reverb_fileid_23.wav': '3.494126558303833'}
{'reverb_fileid_24.wav': '3.409546136856079'}
